Name,Category,URL
The Museum of Egyptian Antiquities,Speciality Museums,/Attraction_Review-g294201-d308825-Reviews-The_Museum_of_Egyptian_Antiquities-Cairo_Cairo_Governorate.html
Mosque of Muhammad Ali,Historic Sites • Religious Sites,/Attraction_Review-g294201-d553171-Reviews-Mosque_of_Muhammad_Ali-Cairo_Cairo_Governorate.html
Nile River,Bodies of Water,/Attraction_Review-g294201-d472084-Reviews-Nile_River-Cairo_Cairo_Governorate.html
Coptic Cairo,Neighborhoods • Points of Interest & Landmarks,/Attraction_Review-g294201-d459916-Reviews-Coptic_Cairo-Cairo_Cairo_Governorate.html
Khan Al-Khalili,Flea & Street Markets,/Attraction_Review-g294201-d308884-Reviews-Khan_Al_Khalili-Cairo_Cairo_Governorate.html
Hanging Church (El Muallaqa),Architectural Buildings • Religious Sites,/Attraction_Review-g294201-d308831-Reviews-Hanging_Church_El_Muallaqa_Sitt_Mariam_St_Mary-Cairo_Cairo_Governorate.html
Islamic Cairo,Neighborhoods,/Attraction_Review-g294201-d469435-Reviews-Islamic_Cairo-Cairo_Cairo_Governorate.html
Cairo Citadel,Historic Sites • Architectural Buildings,/Attraction_Review-g294201-d308820-Reviews-Cairo_Citadel-Cairo_Cairo_Governorate.html
Mosque and Madrasa of Sultan Hassan,Historic Sites • Religious Sites,/Attraction_Review-g294201-d308890-Reviews-Mosque_and_Madrasa_of_Sultan_Hassan-Cairo_Cairo_Governorate.html
Al-Azhar Park,Parks,/Attraction_Review-g294201-d543611-Reviews-Al_Azhar_Park-Cairo_Cairo_Governorate.html
Cave Church,Churches & Cathedrals,/Attraction_Review-g294201-d3154884-Reviews-Cave_Church-Cairo_Cairo_Governorate.html
Zamalek (Gezira Island),Neighborhoods • Islands,/Attraction_Review-g294201-d469499-Reviews-Zamalek_Gezira_Island-Cairo_Cairo_Governorate.html
Gayer-Anderson Museum (Bayt al-Kiritliya),Historic Sites • Art Museums,/Attraction_Review-g294201-d308828-Reviews-Gayer_Anderson_Museum_Bayt_al_Kiritliya-Cairo_Cairo_Governorate.html
Al-Azhar Mosque,Religious Sites,/Attraction_Review-g294201-d459804-Reviews-Al_Azhar_Mosque-Cairo_Cairo_Governorate.html
Mosque of Ibn Tulun,Historic Sites • Religious Sites,/Attraction_Review-g294201-d308891-Reviews-Mosque_of_Ibn_Tulun-Cairo_Cairo_Governorate.html
City Stars Mall,Shopping Malls,/Attraction_Review-g294201-d4887739-Reviews-City_Stars_Mall-Cairo_Cairo_Governorate.html
Sharia Al Mu'izz Li-Din Allah,Points of Interest & Landmarks,/Attraction_Review-g294201-d1015353-Reviews-Sharia_Al_Mu_izz_Li_Din_Allah-Cairo_Cairo_Governorate.html
Church of St,Churches & Cathedrals,/Attraction_Review-g294201-d2572942-Reviews-Church_of_St_Sergius_and_Bacchus-Cairo_Cairo_Governorate.html
National Museum of Egyptian Civilization NEMC,History Museums,/Attraction_Review-g294201-d12166958-Reviews-National_Museum_of_Egyptian_Civilization_NEMC-Cairo_Cairo_Governorate.html
Coptic Orthodox Church of St,Religious Sites,/Attraction_Review-g294201-d469352-Reviews-Coptic_Orthodox_Church_of_St_George_Mari_Girgis-Cairo_Cairo_Governorate.html
Manial Palace Museum,History Museums,/Attraction_Review-g294201-d566589-Reviews-Manial_Palace_Museum-Cairo_Cairo_Governorate.html
Al Rifai Mosque,Religious Sites,/Attraction_Review-g294201-d552487-Reviews-Al_Rifai_Mosque-Cairo_Cairo_Governorate.html
The Coptic Museum,Art Museums,/Attraction_Review-g294201-d308822-Reviews-The_Coptic_Museum-Cairo_Cairo_Governorate.html
Museum of Islamic Arts,Art Museums • History Museums,/Attraction_Review-g294201-d308895-Reviews-Museum_of_Islamic_Arts-Cairo_Cairo_Governorate.html
Cairo Tower,Observation Decks & Towers,/Attraction_Review-g294201-d459794-Reviews-Cairo_Tower-Cairo_Cairo_Governorate.html
